subjectID,prolificID,studyID,sessionID,DEBUG,age,demographicSubmitTS,gender,race,technicalIssues,feedbackSubmitTS,feedback
paae,3e0a,6914ebe81814f5c4d4daa911,69177c5e5df99043ca304090,0,47,1763147300962,Female,Other,No issues.,1763147341926,
8e9k,c5b6,6914ebe81814f5c4d4daa911,69177cd0a7aea95c5c9d7ccc,0,68,1763148242161,Male,White,No,1763148258679,No
rh6j,cbc8,6914ebe81814f5c4d4daa911,69177dc079878b807e69e069,0,51,1763147779292,Female,White,,1763147782649,
w7wz,e3c1,6914ebe81814f5c4d4daa911,69177c52137b9dce31900f1b,0,72,1763147125063,Female,White,,1763147130119,
4o2e,e209,6914ebe81814f5c4d4daa911,69177c5405d3481bf903b904,0,48,1763147439641,Male,White,,1763147442679,
9syk,a7d9,6914ebe81814f5c4d4daa911,69177c96b3d11a6f6d732c94,0,55,1763147402488,Female,White,,1763147405127,
2kx7,74fe,6914ebe81814f5c4d4daa911,69177154e3035a29d3ea442b,0,24,1763144318966,Female,Mixed race,,1763144321080,
sxf8,fde2,6914ebe81814f5c4d4daa911,69178c190d1b934f947b3a6e,0,34,1763151542805,Male,White,,1763151544681,
vwna,1661,6914ebe81814f5c4d4daa911,69177d4419b116fad4f23275,0,60,1763147511137,Male,White,no,1763147518415,
sgns,3909,6914ebe81814f5c4d4daa911,69176c2e16e47a38e91412b8,0,54,1763143049704,Male,White,No,1763143055614,No
y2be,f511,6914ebe81814f5c4d4daa911,69177c530bcc53c98f59fbd1,0,54,1763147167800,Male,White,No issues encountered.,1763147178893,No additional comments. Thanks!
ffmo,521e,6914ebe81814f5c4d4daa911,69176c9b7e6ed3a09b931fdf,0,31,1763143036457,Male,White,no,1763143041604,no
m7pd,3d18,6914ebe81814f5c4d4daa911,69176f35b6108591d0153b34,0,35,1763143991743,Male,White,no,1763143997764,
s1qe,6171,6914ebe81814f5c4d4daa911,69177cdf543bf7a388df9f40,0,28,1763147247450,Male,White,,1763147254052,
lexh,553c,6914ebe81814f5c4d4daa911,69177ca190627467e13cf9c4,0,53,1763147488380,Female,Black,No issues encountered.,1763147523562,
0o35,ed09,6914ebe81814f5c4d4daa911,69176cc86e011c30e23749b8,0,63,1763143239250,Male,White,,1763143242743,
am0o,135f,6914ebe81814f5c4d4daa911,69176da4d1d44d277a58453c,0,43,1763143417778,Female,White,,1763143421916,
7w1g,4f93,6914ebe81814f5c4d4daa911,69178be9f477952214a8f209,0,67,1763151114461,Female,White,none,1763151125501,no
u0me,cfb8,6914ebe81814f5c4d4daa911,69178e8a81a13893497d32b7,0,25,1763151818474,Male,Other,,1763151832252,
24b3,a4c6,6914ebe81814f5c4d4daa911,69177ccbfbab0cbbbd100225,0,43,1763147596353,Female,White,No ,1763147609044,Thanks
737q,4fd9,6914ebe81814f5c4d4daa911,6917845236b2bc4d5d4716fe,0,31,1763149331738,Male,White,,1763149346465,
9oj5,f871,6914ebe81814f5c4d4daa911,69177579bb4ce3d90233dea6,0,67,1763145476900,Female,White,no,1763145520933,Interesting survey. Id love to know my results on how accurate/inaccurate I was
ozxj,0b64,6914ebe81814f5c4d4daa911,6917872bed623ecf7ed12663,0,32,1763150455215,Male,White,,1763150457396,
czpv,61de,6914ebe81814f5c4d4daa911,69177faea26d703383040275,0,48,1763148182979,Male,White,none,1763148191431,thank you
e1go,bc4a,6914ebe81814f5c4d4daa911,69177cd17a693fd14d024028,0,22,1763147348998,Male,White,,1763147354829,
9sh0,93c3,6914ebe81814f5c4d4daa911,6917829f583d322e077eb3f0,0,67,1763148851693,Male,White,no,1763148859133,no
pbvx,c153,6914ebe81814f5c4d4daa911,69177c89c52e54e531afc09e,0,69,1763147730942,Male,White,All good,1763147753128,All good.
u9cf,2923,6914ebe81814f5c4d4daa911,69177d50f6e095ad23887ed5,0,61,1763147592185,Female,White,no,1763147603249,no
9bb8,1189,6914ebe81814f5c4d4daa911,69178393c52e54e531afc546,0,27,1763149103484,Male,White,none,1763149110726,no
dymq,fe79,6914ebe81814f5c4d4daa911,69177d724668fefcc4d60dd6,0,60,1763147417078,Female,White,no,1763147429461,no
shbj,0dbf,6914ebe81814f5c4d4daa911,691780a21d846e634bafc676,0,58,1763148428545,Male,White,NO,1763148451567,NO
1s3h,95bc,6914ebe81814f5c4d4daa911,6917723c4104d16e4f1796bd,0,40,1763145310634,Female,White,,1763145315710,
e00d,23de,6914ebe81814f5c4d4daa911,69177e86155c245f27f66427,0,67,1763147650752,Female,White,no,1763147658579,no
crcn,0d4f,6914ebe81814f5c4d4daa911,69177d4415ff1dedceea2e5f,0,30,1763147292916,Male,White,No,1763147298364,No
dcs0,893e,6914ebe81814f5c4d4daa911,69178061d5870b4f8649faaf,0,54,1763148205295,Male,White,none,1763148215122,nothing
q0vr,6cd2,6914ebe81814f5c4d4daa911,69177d4744ff6d5eab3935d0,0,63,1763147566995,Male,White,No,1763147580990,
yco5,cfef,6914ebe81814f5c4d4daa911,69176e0715d21d20d559d429,0,57,1763143483166,Male,White,no,1763143488976,no
vqkn,61cd,6914ebe81814f5c4d4daa911,69177c55eed73570facd05f2,0,22,1763147186829,Female,Mixed race,,1763147188445,
pwj3,0009,6914ebe81814f5c4d4daa911,6917706198a50162482954fa,0,47,1763144145604,Male,White,none,1763144157812,none
f5f9,cd4d,6914ebe81814f5c4d4daa911,69177d4bbed457e58941bd67,0,42,1763147368722,Male,White,,1763147376636,
ozgt,52c8,6914ebe81814f5c4d4daa911,69178542f62be381995d8a03,0,56,1763149549320,Female,White,,1763149554940,
tqgy,7988,6914ebe81814f5c4d4daa911,69177dcafd3fd2a576403cc5,0,53,1763147484792,Male,White,,1763147486833,
plg5,2a8f,6914ebe81814f5c4d4daa911,69177dc1c71cdda29e3dd6a7,0,20,1763147589237,Female,Asian,,1763147590972,
8uma,9ef3,6914ebe81814f5c4d4daa911,69178e2dbde06233eb577635,0,31,1763151742670,Male,White,No,1763151758913,GREAT STUDY THANK YOU.
dhky,daaf,6914ebe81814f5c4d4daa911,69177cc4a705397222b5193c,0,30,1763147491687,Male,Black,no,1763147497955,no
dgu7,ea9b,6914ebe81814f5c4d4daa911,69177cd015d21d20d559d5ae,0,22,1763147264981,Female,White,No issues thank you.,1763147279454,Very fun to participate in.
o11k,647d,6914ebe81814f5c4d4daa911,691780962a15de4c1b9e6f00,0,47,1763148161505,Female,White,,1763148168749,no
w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0,28,1763147443158,Female,White,Everything went great,1763147452412,
gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0,59,1763150189457,Prefer Not to Say,Prefer Not to Say,,1763150322759,It was very difficult to try and envisage how someone else of the general public would answer the questions...people all have individual traits and people might lie to look good too..but I tried to answer objectively as your requested...
6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0,38,1763148101485,Male,Black,no,1763148107268,no
